THCIC_ID,Accepts_Med,Per_MedMed,lon,lat,scaled_ppd,total_pop,weighted_median_income
976032,FALSE,0.000444247,-98.49886522,29.66041733,3.765,177868,113594.8214
975744,FALSE,0.002556237,-98.6029764,29.61183605,9.4632,211140,99536.01528
975566,TRUE,0.372471886,-98.47951023,29.49383319,9.053,404149,58877.23415
976101,TRUE,0.325652104,NA,NA,9.4493,240856,49490.60207
975568,TRUE,0.377629063,-98.35161281,29.48507702,13.672,264086,65057.65233
975912,TRUE,0.330322288,NA,NA,10.8219,399425,81825.66974
975913,TRUE,0.356241711,-98.66981406,29.44066689,13.101,421497,75344.12557
975883,TRUE,0.393389762,-98.39074019,29.5634938,8.9438,321745,73086.03567
976303,FALSE,0.007575758,-98.71673836,29.43431925,3.7875,330644,84449.31346
975747,TRUE,0.052853134,-98.51591004,29.60901549,17.8891,266759,92326.88847
976297,TRUE,0.084867894,-98.37177025,29.57863286,2.1337,295694,75136.50291
975746,TRUE,0.047412214,-98.71941235,29.5265488,24.1934,264095,98970.08591
975806,TRUE,0.046836543,-98.71082045,29.44727185,18.7616,357552,84338.58099
975748,FALSE,0.016101873,-98.7154488,29.485654,12.4707,346273,91455.18948
975749,TRUE,0.042265177,-98.45917523,29.49002669,21.5701,383218,60752.97962
975750,FALSE,0.01246769,NA,NA,8.1927,452858,52279.22829
975518,TRUE,0.389995559,-98.15375201,26.19866933,5.7222,271000,53914.10424
975751,FALSE,0,-97.973672,29.83789445,13.5667,82783,59042.10663
976130,FALSE,0.001939237,-97.92883297,29.87737784,7.3926,92765,54626.21389
976037,TRUE,0.029305461,-98.2825994,29.61011284,8.7579,162832,93779.5196
975468,TRUE,0.129312624,NA,NA,29.9844,60425,64353.92011
976011,FALSE,0,-96.61022997,33.6017635,7.9304,56614,63615.24427
975756,TRUE,0.020230164,-97.15479533,32.9404627,10.9012,192593,159560.9993
975968,FALSE,0.001600674,-95.4480043,30.07027212,16.4749,343213,93039.16982
975571,TRUE,0.473330847,NA,NA,1.8924,361036,88566.39036
975572,TRUE,0.432602709,-95.4480043,30.07027212,14.0494,343213,93039.16982
975504,TRUE,0.233156699,-95.5354766,30.08635225,12.419,279946,109824.1181
976210,TRUE,0.025673941,-95.4480043,30.07027212,1.6262,343213,93039.16982
976097,FALSE,0.000605694,-95.44804775,30.06850044,2.1938,346229,92715.69104
976242,TRUE,0.17769697,-95.41399574,30.12428744,4.0845,223179,104218.5336
976031,TRUE,0.023065903,-95.41399574,30.12428744,9.1623,223179,104218.5336
976315,FALSE,0,-95.3863611,30.1096379,3.1912,219179,97385.46704
976331,NA,NA,-98.4261805,29.7962791,NA,NA,NA
976244,TRUE,0.14781362,-95.56583422,29.61928884,7.1723,474931,78690.07087
975761,FALSE,0.000246124,-98.22429816,32.21027001,6.2012,30212,58057.54954
976351,NA,NA,-95.60722281,29.59301626,NA,NA,NA
975763,FALSE,0.00015772,-97.35713135,31.1009911,29.4277,91587,63783.77508
976133,FALSE,0.002618099,-97.41991971,31.11869492,13.5977,114244,65773.15327
976306,NA,NA,-94.0941534,33.45909769,NA,NA,NA
975765,TRUE,0.03861439,-94.06674805,33.46317445,25.2113,55902,68153.68307
975474,TRUE,0.391290343,-94.94421825,29.395411,4.7401,80924,67668.32938
975574,TRUE,0.446739425,NA,NA,7.0615,168226,113800.7
975505,TRUE,0.285871468,-95.5853891,30.19057175,13.4017,167531,148263.6642
976194,FALSE,0.005783805,-95.27303285,32.31107914,10.496,129913,65132.85007
975767,FALSE,0.002664549,-95.32254425,32.30411675,112.969,135038,65283.22562
975768,TRUE,0.057828941,-95.32478425,32.2965085,10.8642,127731,66773.16392
975426,TRUE,0.414883618,-95.30480607,32.28172885,8.8875,120176,70171.22512
975769,FALSE,0.000170823,-96.99748023,28.8582124,7.2449,78910,64689.30805
975770,FALSE,0,NA,NA,28.2519,166349,59194.4
976131,FALSE,0.001121076,-97.122776,31.5527604,12.511,151779,46662.86629
975772,FALSE,0.017932896,-96.8387587,32.43280885,14.5074,71780,88404.09472
975773,FALSE,0,-97.78504227,32.73187147,4.7795,64786,86176.21648
975960,FALSE,0,-97.7969535,32.7515964,5.5606,65568,87853.56377
975514,TRUE,0.402057491,-97.99193048,26.17242247,23.0627,151450,45356.06889
975775,FALSE,0.00028401,-93.7793358,30.08409685,13.5911,47946,79304.78837
976145,FALSE,0.007529755,-98.54991669,33.85733985,6.2385,81017,60919.19193
975496,TRUE,0.271851762,NA,NA,6.52,47774,116366.9054
976132,FALSE,0.002468846,NA,NA,13.7681,151004,66770.52855
975576,TRUE,0.317450185,-96.56681524,33.00981711,14.9347,198420,118806.9759
975778,FALSE,0,-96.52410807,33.02173718,9.9359,147607,117569.5444
